id,analyzed_experiment_id,independent_variable,EP_location,TPD_location,Instability_location,J_avg,J_std,kappa_c_avg,kappa_c_std,f_c_avg,f_c_std,phi_avg,phi_std,Delta_kappa_min,Delta_kappa_max,Delta_f_min,Delta_f_max,Delta_kappa_avg,Delta_kappa_std,Delta_f_avg,Delta_f_std
1,cab5729f-0491-41f9-9fc8-acf0096754ab,set_voltage,-2090000,-1086089.7654834138,699549.9017821245,1045000,0,699549.9017821245,10711.559615855638,6006253726.657371,18239.592914001787,0,0,-1681411.0721748874,18478.366677395883,-64519.51414012909,36546.59998035431,-711772.6121744136,517137.6534711998,-7390.715783308048,11855.75579495784
2,62156c79-a18b-4c96-b4b5-2a43519d1900,set_voltage,-2090000,-44029.5508039312,2045506.617501371,1045000,0,2045506.617501371,15463.162924864417,6007096876.02394,10166.640883755746,0,0,-499576.2873945673,797528.5718422602,-18582.779740333557,19529.04352092743,128727.7867035691,392213.806572648,-2890.078798700087,7613.247158252234
3,02f5e503-3e4e-4651-9ef8-d90104b3721f,set_amperage,2250000,2437848.037902605,2044968.690247951,1125000,0,938404.526792992,12422.007205767362,6007408617.365822,10185.263471180953,3.1415926535897896,0.0000000000000004440892098500626,-54393.26117348939,64485.61024903739,1975154.9000139236,3108095.833129883,3355.1045361079096,17981.989521830907,2549165.806305517,331854.0566133795
4,47809d5e-9041-456b-80d8-becf48bf1cfd,set_amperage,2250000,2923234.173803748,1256861.9514910614,1125000,0,1866225.6120024933,11878.302115698356,6007394641.453454,9810.24688350939,3.1415926535897896,0.0000000000000004440892098500626,-203153.42673023278,47526.073127473355,2050069.0062618256,3614645.6713352203,2315.223845116042,26143.73577646886,2795190.4857249917,418757.60696937336
5,25e2d559-5960-48c9-8cd2-9441cc067b61,delta_kappa,-1343502.8842544404,-816629.3194886441,,950000,0,1237285.3481782714,12949.653554209772,6007317855.416493,15922.839343621576,1.5707963267949006,0.0000000000000004440892098500626,-946624.6526296447,-385517.56263654714,-4769835.22120285,-1905071.213502884,-666435.2679929148,167507.5623431665,-2924027.487433465,795895.4761418364
6,3ef835ef-e2be-4eb3-929e-3a5149a00e87,delta_kappa,-1343502.8842544404,-624022.4759782745,,950000,0,2200387.400164821,24947.61915953425,6007197696.33221,9822.177615607445,1.5707963267949006,0.0000000000000004440892098500626,-854600.2869043646,-280639.54918316565,-6340254.536855698,-2107149.1415405273,-568724.2740626044,166730.12898944397,-3497613.077889935,1154805.6517419429
