id,analyzed_experiment_pk,set_voltage,set_amperage,Delta_f_Hz,Delta_f_Hz_err,Delta_kappa_Hz,Delta_kappa_Hz_err,kappa_c_Hz,kappa_c_Hz_err,f_c_Hz,f_c_Hz_err,J_Hz,J_Hz_err,a0_value,a0_err,phi_rad,phi_rad_err,nu_minus_mean_data_Hz,nu_minus_err_low_data_Hz,nu_minus_err_high_data_Hz,nu_plus_mean_data_Hz,nu_plus_err_low_data_Hz,nu_plus_err_high_data_Hz
11,1,-2.9,-0.009,-11816.912901878357,1242.4471369292075,-57226.26248945948,1759.3668631677158,677141.7449968862,3097.7040611792295,6006231070.011678,1093.9494129121326,1045000,0,3332350696307873.5,58599364946043.55,0,0,6005258925.441952,6005257519.03524,6005260328.849545,6007214850.05235,6007213419.278371,6007216303.325162
12,1,-2.89,-0.009,3541.2826776504517,1324.7286434976115,-77178.39728657523,1876.1399076421235,675625.3470570766,3106.0979679379293,6006225538.17085,1096.9231398169813,1045000,0,3301291572820906,60976856767601.95,0,0,6005249696.903842,6005248210.451267,6005251168.97454,6007197883.253486,6007196431.582102,6007199359.726674
13,1,-2.88,-0.009,-64519.51414012909,1465.7768002125456,-76440.30538571737,2076.2712036851517,682203.2957286189,3070.8944411033985,6006230254.044591,1084.4541517190657,1045000,0,3030299540731246,50612597981577.53,0,0,6005288513.230613,6005287020.255532,6005290005.9262,6007235538.642408,6007234018.705184,6007237050.5205965
14,1,-2.87,-0.009,10711.747643470764,1497.1115821089504,-120811.33403145772,2121.611489142162,691547.8415307588,3031.3828564079845,6006247019.861695,1070.4458785128322,1045000,0,3274033507719330,56873139305902.164,0,0,6005280847.841671,6005279306.49877,6005282378.778034,6007202727.108971,6007201188.050541,6007204274.349592
15,1,-2.86,-0.009,1015.3696737289429,1359.9141953710514,-111198.58920225682,1926.596689302833,686964.767443383,3063.900737410676,6006236552.1466875,1081.9567248403928,1045000,0,3235507145874138.5,55626380654293.43,0,0,6005271859.921624,6005270367.791218,6005273361.1252365,6007200220.85483,6007198755.200956,6007201703.985106
16,1,-2.85,-0.009,-12593.010306358337,1338.0369322109364,-125403.07500591979,1895.7017620286301,682835.5755922092,3036.709533750767,6006234128.587971,1072.377857253641,1045000,0,3241894103741792,56613974490223.14,0,0,6005278599.333701,6005277107.050568,6005280084.798319,6007201936.653962,6007200473.427992,6007203405.321554
17,1,-2.84,-0.009,8880.73454284668,1245.9734841305672,-116218.41030788509,1764.939374317122,686498.3987153079,3020.768023041007,6006233035.593971,1066.7285611377672,1045000,0,2920472479880938,42378067863100.016,0,0,6005265594.405348,6005264134.938674,6005267041.217397,6007191808.995023,6007190325.487224,6007193257.076898
18,1,-2.83,-0.009,36546.59998035431,2441.238008921494,-221127.68100986874,3467.345014094627,681935.798942802,2996.12670048905,6006244137.004838,1058.0492129573004,1045000,0,3371150735229813,52802103971502.06,0,0,6005290819.66334,6005288781.350725,6005292826.687197,6007162959.411678,6007160985.229919,6007164938.097504
19,1,-2.82,-0.009,-3675.623423576355,1310.822252181899,-151680.7670587013,1857.498244080221,689234.0223524083,3016.3231051663174,6006251513.889532,1065.1397467534325,1045000,0,3096549997803915.5,50771643859454.43,0,0,6005299613.864394,6005298132.886861,6005301070.5302305,6007206970.454095,6007205470.453989,6007208469.302697
20,1,-2.81,-0.009,-9857.128695487976,1240.624221127523,-152566.0127806965,1757.590100168641,686444.1606374694,3062.096159680516,6006241099.554971,1081.321365444834,1045000,0,2973565997973135,45986957032359.56,0,0,6005291775.80773,6005290304.83181,6005293223.384973,6007199904.01911,6007198460.909186,6007201366.056271
